ItemNumber,ItemName,CategoryName,CountryState
1624,Savory & James Amontillado Sherry 750ml,Port/Sherry,Spain
1930,Woodbridge Mondavi Cabernet 1.5L,1.5L Cabernet,California
1932,Woodbridge Mondavi Cabernet 750ml,Cabernet Sauvignon,California
1934,Woodbridge Mondavi Chardonnay 1.5L,1.5L Chard,California
1168,Lindemans Chardonnay Bin 65 750ml,Chardonnay,Australia
861,Fu-ki Plum 750ml,Wine (Misc),Japan
862,Fu-ki Sake 750ml,Wine (Misc),Japan
955,Harveys Bristol Cream Sherry 750ml,Port/Sherry,Spain
679,Duckhorn Cabernet Napa 750ml,Cabernet Sauvignon,California
268,Bogle Petite Sirah 750ml,Misc Red,California
683,Duckhorn Merlot Napa 750ml,Merlot,California
686,Duckhorn Sauvignon Blanc 750ml,Sauvignon Blanc,California
1139,Latour Bourgogne Rouge 750ml,Burgundy,France
1123,La Crema Pinot Noir Sonoma Coast 750ml,Pinot Noir,California
677,Dry Sack Sherry 750ml,Port/Sherry,Spain
1666,Simi Sauvignon Blanc 750ml,Sauvignon Blanc,California
609,Cuvaison Chardonnay Carneros 750ml,Chardonnay,California
1691,Sonoma-Cutrer Chardonnay Rus River 750ml,Chardonnay,California
1439,Penfolds Koonunga Hill Shiraz-Cab 750ml,Syrah/Shiraz,Australia
1083,Kenwood Jack London Cab 750ml,Cabernet Sauvignon,California
876,Gallo Family Vnyds Hearty Burgundy 1.5L,1.5L Other Red,California
877,Gallo Family Vnyds Sauvignon Blanc 1.5L,1.5L Sauv Blanc,California
732,Fairbanks Port 3L,Port/Sherry,California
1652,Sheffield Tawny Port 1.5L,Port/Sherry,California
1651,Sheffield Cream Sherry 1.5L,Port/Sherry,California
59,Andre Extra Dry 750ml,Wine - Sparkling,California
1832,Totts Brut 750ml,Wine - Sparkling,California
207,Beringer Knights Valley Cabernet 750ml,Cabernet Sauvignon,California
214,Beringer Private Resv. Chardonnay 750ml,Chardonnay,California
428,Ch Ste Michelle Merlot 750ml,Merlot,Washington
1403,Ornellaia Le Volte 750ml,Tuscany,Italy
1111,Kunde Chardonnay Sonoma 750ml 2016,Chardonnay,California
1677,Smith & Hook Cabernet 750ml,Cabernet Sauvignon,California
938,Guigal Cote du Rhone Rouge 750ml,Rhone,France
673,Dry Creek Cabernet 750ml,Cabernet Sauvignon,California
750,Ferrari-Carano Chardonnay Reserve 750ml 2003,Chardonnay,California
811,Franciscan Chardonnay 750ml,Chardonnay,California
1357,Mount Veeder Cabernet Napa 750ml,Cabernet Sauvignon,California
896,Girard Cabernet 750ml,Cabernet Sauvignon,California
320,Bully Hill Love My Goat Red 750ml,Local Wine,New York
101,Au Bon Climat Pinot Noir S Barbara 750ml,Pinot Noir,California
494,Clos du Bois Pinot Noir 750ml,Pinot Noir,California
1556,Rocca delle Macie Chianti Classico 750ml,Tuscany,Italy
905,Gloria Ferrer Blanc de Noirs 750ml,Wine - Sparkling,California
69,Antinori Marchese Chianti Riserva 750ml 2001,Tuscany,Italy
1636,Sebastiani Chardonnay 750ml,Chardonnay,California
1093,King Estate Pinot Gris Willamette 750ml,Pinot Grigio,Oregon
1003,J Lohr White Riesling Bay Mist 750ml,Gewurztraminer/Riesling,California
1031,Jadot Macon Villages 750ml,Burgundy,France
1032,Jadot Pouilly Fuisse 750ml,Burgundy,France
1751,Sutter Home Merlot 1.5L,1.5L Merlot,California
1640,Seghesio Zinfandel Sonoma 750ml 2003,Zinfandel,California
675,Dry Creek Fume Blanc 750ml,Sauvignon Blanc,California
1997,ZD Chardonnay 750ml,Chardonnay,California
32,Adelsheim Pinot Noir 750ml,Pinot Noir,Oregon
810,Franciscan Cabernet 750ml,Cabernet Sauvignon,California
722,Estancia Chardonnay 750ml,Chardonnay,California
897,Girard Chardonnay Russian Rivr Vly 750ml,Chardonnay,California
1649,Shafer Merlot Napa 750ml 2004,Merlot,California
1314,Moet & Chandon Nectar Imperial 750ml,French Champagne,France
276,Bolla Merlot 1.5L,1.5L Merlot,Italy
856,Frog's Leap Cabernet 750ml,Cabernet Sauvignon,California
1840,Trefethen Chardonnay 750ml,Chardonnay,California
1772,Sutter Home White Zinfandel 750ml,Wine - White Zin./Beverage,California
1198,Los Vascos Cabernet 750ml,Cabernet Sauvignon,Chile
982,Hugel Les Amour Pinot Blanc 750ml,Alsace,France
1222,Macon Lugny  Les Charmes 750ml,Burgundy,France
1841,Trimbach Gewurztraminer 750ml,Alsace,France
1838,Travaglini Gattinara 750ml,Piedmont,Italy
845,Freixenet Cordon Negro Brut 1.5L,Wine - Sparkling,Spain
850,Freixenet Cordon Rosado 750ml,Wine - Sparkling,Spain
1105,Korbel Natural 750ml,Wine - Sparkling,California
1232,Manischewitz Cr Red Concord 3L,Wine (Misc),New York
1799,Taylor Sherry Cream 1.5L,Port/Sherry,California
1796,Taylor Port 1.5L,Port/Sherry,California
1023,Jacob's Creek Shiraz-Cabernet 750ml,Syrah/Shiraz,Australia
458,Chaucer's Mead 750ml,Dessert,California
492,Clos du Bois Merlot 750ml,Merlot,California
511,Columbia Crest Grand Est Cabernet 750ml,Cabernet Sauvignon,Washington
1743,Sutter Home Chardonnay 187ml-4p,Wine (Misc),California
550,Cooks Grand Reserve 750ml,Wine - Sparkling,California
551,Cooks Spumante 750ml,Wine - Sparkling,California
1800,Taylor Sherry Cream 3L,Port/Sherry,New York
